,,,,,,,HD01,SUBHD0201,SUBHD0202,SUBHD0203,SUBHD0204,SUBHD0205,HD03,SUBHD0401,SUBHD0402
GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,Total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Median age (years),Males per 100 females,Males per 100 females
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,,Under 18 years,18 to 24 years,25 to 44 years,45 to 64 years,65 years and over,,All ages,18 years and over
0400000US41,41,Oregon,8710000US4197208,4197208,Oregon - ZCTA 97208,ZCTA 97208,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US42,42,Pennsylvania,8710000US4215260,4215260,Pennsylvania - ZCTA 15260,ZCTA 15260,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US42,42,Pennsylvania,8710000US4215290,4215290,Pennsylvania - ZCTA 15290,ZCTA 15290,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US42,42,Pennsylvania,8710000US4217120,4217120,Pennsylvania - ZCTA 17120,ZCTA 17120,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US42,42,Pennsylvania,8710000US4217822,4217822,Pennsylvania - ZCTA 17822,ZCTA 17822,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US42,42,Pennsylvania,8710000US4218016,4218016,Pennsylvania - ZCTA 18016,ZCTA 18016,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US42,42,Pennsylvania,8710000US4218195,4218195,Pennsylvania - ZCTA 18195,ZCTA 18195,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US42,42,Pennsylvania,8710000US4219109,4219109,Pennsylvania - ZCTA 19109,ZCTA 19109,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US45,45,South Carolina,8710000US4529147,4529147,South Carolina - ZCTA 29147,ZCTA 29147,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US45,45,South Carolina,8710000US4529899,4529899,South Carolina - ZCTA 29899,ZCTA 29899,,,,,,,,$(X),$(X)
0400000US47,47,Tennessee,8710000US4737243,4737243,Tennessee - ZCTA 37243,ZCTA 37243,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US47,47,Tennessee,8710000US4737246,4737246,Tennessee - ZCTA 37246,ZCTA 37246,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US47,47,Tennessee,8710000US4738131,4738131,Tennessee - ZCTA 38131,ZCTA 38131,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US48,48,Texas,8710000US4875270,4875270,Texas - ZCTA 75270,ZCTA 75270,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US48,48,Texas,8710000US4875390,4875390,Texas - ZCTA 75390,ZCTA 75390,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US48,48,Texas,8710000US4876508,4876508,Texas - ZCTA 76508,ZCTA 76508,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US48,48,Texas,8710000US4877201,4877201,Texas - ZCTA 77201,ZCTA 77201,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US48,48,Texas,8710000US4877507,4877507,Texas - ZCTA 77507,ZCTA 77507,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US48,48,Texas,8710000US4878029,4878029,Texas - ZCTA 78029,ZCTA 78029,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US48,48,Texas,8710000US4878150,4878150,Texas - ZCTA 78150,ZCTA 78150,,,,,,,,$(X),$(X)
0400000US49,49,Utah,8710000US4984144,4984144,Utah - ZCTA 84144,ZCTA 84144,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US49,49,Utah,8710000US4984180,4984180,Utah - ZCTA 84180,ZCTA 84180,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US50,50,Vermont,8710000US5005481,5005481,Vermont - ZCTA 05481,ZCTA 05481,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US51,51,Virginia,8710000US5122035,5122035,Virginia - ZCTA 22035,ZCTA 22035,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US51,51,Virginia,8710000US5122185,5122185,Virginia - ZCTA 22185,ZCTA 22185,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US51,51,Virginia,8710000US5122214,5122214,Virginia - ZCTA 22214,ZCTA 22214,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US51,51,Virginia,8710000US5123250,5123250,Virginia - ZCTA 23250,ZCTA 23250,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US53,53,Washington,8710000US5398154,5398154,Washington - ZCTA 98154,ZCTA 98154,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US53,53,Washington,8710000US5398158,5398158,Washington - ZCTA 98158,ZCTA 98158,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US53,53,Washington,8710000US5398174,5398174,Washington - ZCTA 98174,ZCTA 98174,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US53,53,Washington,8710000US5398195,5398195,Washington - ZCTA 98195,ZCTA 98195,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US53,53,Washington,8710000US5398929,5398929,Washington - ZCTA 98929,ZCTA 98929,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US53,53,Washington,8710000US5399164,5399164,Washington - ZCTA 99164,ZCTA 99164,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US54,54,West Virginia,8710000US5425185,5425185,West Virginia - ZCTA 25185,ZCTA 25185,,,,,,,,$(X),$(X)
0400000US54,54,West Virginia,8710000US5425305,5425305,West Virginia - ZCTA 25305,ZCTA 25305,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US55,55,Wisconsin,8710000US5553792,5553792,Wisconsin - ZCTA 53792,ZCTA 53792,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
